Job Title,Total Cash Compensation,Base Pay,Overtime,Year,HourlyRate,Hours Worked Overtime,Stress Level,Job Title Encoded
Fire Captain,250723.48,180574.29,67583.85,2023,86.81456250000001,778.485176378099,High Stress,26
Police Officer,250701.79,151673.6,73508.23,2023,72.92,1008.0667855183763,High Stress,58
Police Officer,250534.95,148409.6,79482.8,2023,71.35076923076923,1113.9725732028116,High Stress,58
Police Officer,250511.14,151673.6,67438.21,2023,72.92,924.8246023038947,High Stress,58
Police Officer,250473.81,124154.4,111478.78,2023,59.68961538461538,1867.641117833923,High Stress,58
Fire Captain,250165.39,180574.29,61201.84,2023,86.81456250000001,704.972048900206,High Stress,26
Fire Fighter,249908.97,141772.54,87793.67,2023,68.159875,1288.0550323779203,High Stress,28
Police Officer,249864.22,151673.6,64272.43,2023,72.92,881.4101755348327,High Stress,58
Police Sergeant,249784.13,169512.0,49740.16,2023,81.49615384615385,610.3375147482185,High Stress,61
Police Lieutenant,249767.65,182347.2,36291.92,2023,87.66692307692308,413.9750629568208,High Stress,57
Police Sergeant,249519.43,175562.4,38256.1,2023,84.405,453.2444760381494,High Stress,61
Fire Engineer,249503.71,157370.85,78169.72,2023,75.6590625,1033.1838304234868,High Stress,27
Police Sergeant,249369.81,161790.4,56522.26,2023,77.78384615384616,726.6580761281263,High Stress,61
Police Officer,249324.33,135673.6,92757.8,2023,65.22769230769231,1422.0616538515967,High Stress,58
Police Sergeant,249280.51,175562.4,44285.02,2023,84.405,524.6729459155263,High Stress,61
Police Officer,249188.63,151673.6,61273.64,2023,72.92,840.2857926494788,High Stress,58
Fire Engineer,249044.64,157370.85,78431.12,2023,75.6590625,1036.6388031836898,High Stress,27
Fire Engineer,249035.86,157370.85,83275.75,2023,75.6590625,1100.6711852925748,High Stress,27
Police Officer,248963.3,151673.6,71698.25,2023,72.92,983.2453373560065,High Stress,58
Police Officer,248931.38,149225.6,73182.81,2023,71.74307692307693,1020.0679025582741,High Stress,58
Fire Captain,248558.57,180574.29,60934.75,2023,86.81456250000001,701.8954913238201,High Stress,26
Police Officer,248478.08,151673.6,63109.34,2023,72.92,865.4599561162918,High Stress,58
Police Officer,248467.4,151673.6,67741.34,2023,72.92,928.9816236972024,High Stress,58
Police Officer,248421.13,151673.6,68245.5,2023,72.92,935.8955019199122,High Stress,58
Police Sergeant,248371.39,175562.4,33816.22,2023,84.405,400.64237900598306,High Stress,61
Police Officer,248327.5,151673.6,71133.94,2023,72.92,975.506582556226,High Stress,58
Battalion Chief,248151.33,185086.21,56899.38,2023,88.9837548076923,639.4355927435113,High Stress,10
Fire Fighter,248064.56,141772.54,83788.2,2023,68.159875,1229.2892262493144,High Stress,28
Fire Captain,247909.36,163743.59,72040.86,2023,78.72287980769231,915.1197234652055,High Stress,26
Fire Captain,247891.18,178033.89,55594.15,2023,85.59321634615385,649.5158421803849,High Stress,26
Police Officer,247872.86,151673.6,62603.39,2023,72.92,858.5215304443225,High Stress,58
Police Sergeant,247840.52,175562.4,57884.68,2023,84.405,685.7968129850127,High Stress,61
Fire Captain,247803.18,163743.59,66432.66,2023,78.72287980769231,843.879951575509,High Stress,26
Fire Fighter,247609.5,119481.37,106685.37,2023,57.442966346153845,1857.239916147597,High Stress,28
Fire Fighter,247598.64,141772.54,85483.34,2023,68.159875,1254.159283596104,High Stress,28
Police Sergeant,247338.87,175562.4,42343.38,2023,84.405,501.669095432735,High Stress,61
Fire Fighter,247256.23,119481.37,96776.24,2023,57.442966346153845,1684.7361157643238,High Stress,28
Police Officer,247252.66,148030.45,68031.78,2023,71.16848557692309,955.9256382723958,High Stress,58
Police Officer,247136.72,127730.4,93593.6,2023,61.40884615384615,1524.1061485754371,High Stress,58
Police Officer,246926.0,151673.6,67034.62,2023,72.92,919.2899067471201,High Stress,58
Fire Captain,246509.77,180574.29,62564.06,2023,86.81456250000001,720.6631951868674,High Stress,26
Police Lieutenant,246458.17,196288.0,10742.72,2023,94.36923076923077,113.83710466253667,Medium Stress,57
Police Sergeant,246414.74,175562.4,26188.58,2023,84.405,310.2728511344115,Medium Stress,61
Police Sergeant,246179.41,163342.4,48315.59,2023,78.53,615.2500955049026,High Stress,61
Police Lieutenant,246130.43,182347.2,27606.04,2023,87.66692307692308,314.8968736564093,Medium Stress,57
Fire Engineer,245769.13,157370.85,82232.54,2023,75.6590625,1086.8828833294094,High Stress,27
Fire Captain,245706.0,180574.29,56917.6,2023,86.81456250000001,655.6227245860969,High Stress,26
Police Officer,245635.15,151673.6,68441.59,2023,72.92,938.5846132748217,High Stress,58
